brand,2019-12,2019-11,2019-10,2019-09,2019-08,2019-07,2019-06,2019-05,2019-04,2019-03,2019-02,2019-01,2018-12,2019累计
北京,36197,7005,8591,10000,10696,12503,26039,8969,4945,17690,2866,4258,27822,149759
比亚迪,10717,10675,12042,13048,16100,16010,25826,20945,22735,29219,14005,31870,35752,223192
传祺,8970,6046,4541,4010,3816,3406,3073,2014,1903,1654,838,370,3252,40641
奔腾,8735,2380,356,372,125,,,90,,,,,9,12058
宝骏,8352,9809,4636,5353,8698,6328,4556,546,1488,961,1011,8312,4692,60050
大众,8111,2304,2148,2759,2414,2536,3589,3888,5222,1574,2324,1642,,38511
荣威,7077,1185,1829,1731,2981,3376,4930,8078,9282,6045,3825,6007,6751,56346
奇瑞,6036,2246,2832,3346,2889,2808,7361,4165,5039,3168,3158,3729,6186,46777
名爵,4951,3756,2734,2008,1898,696,356,1570,733,559,174,157,58,19592
东风启辰,3746,381,87,455,,,,,,,,,,4669
蔚来,3170,1500,2019,2478,2796,1502,1092,1068,1508,1356,654,1803,2692,20946
丰田,3087,1039,840,871,1339,1631,2108,2409,2566,1775,194,,,17859
欧拉,2653,2252,1774,1877,1225,2071,3762,4541,4614,7031,3280,3719,,38799
东风风行 ,2494,40,134,102,132,31,1072,416,419,,9,,,4849
宝马,2481,3351,3164,3864,3523,3375,3300,3613,2875,2223,340,58,2631,32167
长安,2391,2131,1111,490,1100,717,8155,2822,991,4222,1957,2148,1873,28235
吉利,2264,7374,4533,3532,4969,2868,9479,6291,7382,6639,5194,6196,3941,66721
东风风神,1826,2552,1121,331,373,148,3524,1243,842,,1269,,,13229
威马,1516,1099,2056,1518,847,1093,1902,2056,1377,1706,417,,,15587
小鹏,1485,1016,505,2185,306,1515,2237,2704,2200,1256,600,599,41,16608
江铃,1108,212,969,520,510,338,1010,1143,996,2478,2243,3300,4846,14827
奥迪,1056,,,,,,94,1,,,80,466,568,1697
别克,1005,400,350,50,121,119,433,389,,,,,5688,2867
哪吒,667,1108,1202,1001,802,807,816,808,1006,1003,503,283,1206,10006
江淮,500,697,280,352,313,236,8750,6616,5024,5218,1686,4247,6950,33919
领克,477,435,,,,,462,,293,675,432,741,1503,3515
现代,428,204,,,,32,164,188,272,55,9,37,,1389
ARCFOX,416,,10,9,9,6,33,40,64,,,,,587
起亚,199,254,121,139,109,86,372,178,351,331,293,77,240,2510
沃尔沃,197,200,367,214,85,,,,,,,,,1063
云度,192,200,239,222,150,180,200,220,200,239,180,344,,2566
上汽大通,88,84,50,30,78,20,1,6,,15,1,31,77,404
日产,62,52,39,50,54,,1340,3335,2232,152,291,502,,8109
红旗,60,182,1043,1064,1154,11,1005,1804,910,806,,,,8039
新特,55,10,203,366,385,552,401,15,24,177,150,505,,2843
本田,31,521,764,239,,,,,,,,,,1555
东南,30,47,34,42,50,56,375,112,94,,148,,,988
祺智,27,38,38,50,37,19,15,39,65,137,76,263,,804
华骐,1,,,,300,60,2,137,,164,8,3,,675
腾势,,,,,,,101,1859,6,27,3,,884,1996
北汽,,,,,,,,,,,,,,
电咖,,,,,,,,,,,,,1462,
猎豹,,,,,40,45,14,54,75,344,1,86,,659
华泰,,,,,,485,1241,1213,2181,4106,886,3013,1495,13125
一汽,,10,,17,1,,,,35,9,6,8,,86
知豆,,,,,,2095,105,345,420,650,485,,467,4100
力帆,,,,,,,,,,,,1234,885,1234
凯迪拉克,,,,,,,,,,,,,,
领途,,,,,,,,,,,,485,2841,485
风神,,,,,,,,,,1444,,1282,1390,2726
风行,,,,,,,,,,69,,1085,,1154
SUV,,,,,,,,,,,,,,
长城,,,,,,,,,,,209,,,209
海马,,,,,,,1098,,,,60,,1951,1158
通用,,,,,,,,,,,,,,
野马,,,,,,,,,,,,6,,6
WEY,,,,,,,,24,137,110,106,220,315,597
中天,,,,,,,,,,,,,,
川汽,,,,,,,,,,,,,,
川汽野马,,,,,,,,,,,,,,
广汽,,,,,,,,305,225,,163,7,,700
天津一汽,,,,,,,,,,,,,,
富康,,,,,,,,1,,,,,,1
东南汽车,,,,,,,,,,284,,262,,546
东风,,,,,,,,,,,,,,
上汽通用,,,,,,,,,,,,,,
康迪,,,,,,,,,,,,,826,
开瑞,,,,,,2,9,,,,4,12,,27
上汽,,,,,,,,,,,,,,
汉腾,,,,,,,458,465,456,446,438,420,110,2683
东风日产,,,,,,,,,,,,,,
东风悦达起亚,,,,,,,,,,,,,,
昌河,,,,,,,,,,,,,,
众泰,,,6,6,7,53,273,28,210,622,266,425,4241,1896
大通,,,,,,,,,,,,,,
奔驰,,,,,,,,,,,,,,
总计,132858,72795,62768,64701,70432,67816,131133,96753,91397,106639,50842,90212,133645,1038346
